image_name,main_object,object_position,distance_annotation_basis,annotation_confidence,distance_category,has_obstacle,front_area_status,safer_direction,notes
1 (5).jpg,tempat tidur bayi,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,tempat tidur bayi memenuhi area depan dan menjadi objek dominan dekat
1 (31).jpg,rak toko,kanan,visual_relative,medium,dekat,yes,terhalang,kiri,rak produk berada dekat di kanan depan dengan lorong relatif terbuka di kiri
1 (34).jpg,meja konsol,tengah,visual_relative,medium,sedang,no,relatif_lapang,tengah,meja berada di tengah tetapi area depan masih relatif terbuka
1 (40).jpg,tangga putar,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,anak tangga berada dekat dan memenuhi area tengah depan
1 (1030).jpg,mesin cuci,kanan,visual_relative,medium,sedang,no,relatif_lapang,kiri,deretan mesin cuci berada di sisi kanan-tengah dan area lantai depan masih relatif terbuka
1 (8390).jpg,pot tanaman,kiri,visual_relative,medium,dekat,yes,terhalang,tengah,pot tanaman dekat di kiri bawah sementara area tengah tangga lebih terbuka
1 (8391).jpg,meja kecil,kiri,visual_relative,medium,sedang,no,relatif_lapang,tengah,meja kecil di kiri tidak menutup area depan utama
1 (8392).jpg,tangga,kiri,visual_relative,medium,dekat,yes,terhalang,kanan,tangga di kiri depan menjadi struktur dominan yang perlu diperhatikan
1 (8466).jpg,kabinet dapur,kiri,visual_relative,medium,sedang,no,relatif_lapang,tengah,kabinet dapur berada di sisi kiri sementara jalur tengah menuju pintu masih relatif lapang
1 (8477).jpg,meja ruang tamu,tengah,visual_relative,medium,sedang,no,relatif_lapang,kiri,meja dan kursi berada di tengah tetapi tidak sangat dekat dengan kamera
1 (8479).jpg,meja kecil,kanan,visual_relative,medium,dekat,yes,terhalang,kiri,meja kecil berada dekat di kanan depan dengan kursi sofa mengapit area
1 (8480).jpg,sofa,kanan,visual_relative,medium,dekat,yes,terhalang,kiri,sofa coklat berada dekat di kanan depan dan menutup sebagian area berjalan
1 (8506).jpg,meja makan,kiri,visual_relative,medium,dekat,yes,terhalang,tengah,meja makan dan kursi dekat di kiri depan pada dapur
1 (8531).jpg,meja tulis,tengah,visual_relative,medium,dekat,yes,terhalang,kanan,meja dan kursi dekat di area tengah
1 (8532).jpg,piano,tengah,visual_relative,medium,dekat,yes,terhalang,kanan,piano besar memenuhi area tengah depan
1 (8538).jpg,kursi,kiri,visual_relative,medium,dekat,yes,terhalang,kanan,kursi dan meja bundar dekat di kiri tengah
1 (8539).jpg,meja dekoratif,tengah,visual_relative,medium,dekat,yes,terhalang,kanan,meja dekoratif dekat di tengah depan
1 (8540).jpg,meja kecil,kiri,visual_relative,medium,dekat,yes,terhalang,kanan,meja kecil di kiri depan menjadi objek dominan dekat
1 (8541).jpg,meja bundar,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,meja bundar berada dekat di tengah dengan kursi di kiri
1 (8546).jpg,meja kaca,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,meja kaca rendah berada dekat di tengah depan ruang tamu
1 (8549).jpg,sofa,tengah,visual_relative,medium,dekat,yes,terhalang,kanan,sofa kulit dan meja berada dekat di area depan
1 (8551).jpg,kursi,kiri,visual_relative,medium,dekat,yes,terhalang,kanan,kursi dekat di kiri depan dengan konsol di belakang
1 (8552).jpg,kabinet,kiri,visual_relative,medium,dekat,yes,terhalang,kanan,kabinet kayu dekat di kiri depan dan tangga kecil berada di kanan belakang
1 (8553).jpg,lorong,tengah,visual_relative,medium,sedang,no,relatif_lapang,tengah,lorong indoor relatif kosong tanpa objek dekat yang jelas
1 (8554).jpg,meja kecil,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,meja kecil berada di tengah depan ruang duduk
1 (8815).jpg,kursi,kiri,visual_relative,medium,dekat,yes,terhalang,tengah,kursi depan di kiri bawah menjadi objek dekat sementara area tengah masih cukup terbaca
1 (8816).jpg,meja tamu,kanan,visual_relative,medium,dekat,yes,terhalang,tengah,meja tamu berada dekat di kanan bawah ruang keluarga
1 (8817).jpg,meja kaca,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,meja kaca dan kursi sofa memenuhi area tengah depan
1 (8818).jpg,kursi,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,kursi hitam besar berada dekat di tengah depan
1 (8820).jpg,sofa,kiri,visual_relative,medium,dekat,yes,terhalang,tengah,sofa kulit sangat dekat di kiri bawah depan
1 (8935).jpg,meja rapat,tengah,visual_relative,medium,dekat,yes,terhalang,kanan,meja rapat besar memenuhi area depan pada ruang kantor
1 (8962).jpg,meja rapat,tengah,visual_relative,medium,sangat_dekat,yes,terhalang,kiri,meja rapat sangat dekat dan memenuhi area bawah depan
1 (8963).jpg,meja rapat,tengah,visual_relative,medium,sangat_dekat,yes,terhalang,kiri,meja rapat besar sangat dekat di tengah depan
1 (8965).jpg,meja rendah,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,meja rendah berada dekat di tengah ruangan bergaya tatami
1 (7248).jpg,lorong,tengah,visual_relative,medium,jauh,no,relatif_lapang,tengah,lorong indoor memanjang dengan objek kecil di ujung jauh dan area depan kosong
1 (6083).jpg,bangku ruang ganti,kanan,visual_relative,medium,sedang,no,relatif_lapang,tengah,bangku panjang berada di kanan tetapi area lantai depan relatif lapang
1 (6082).jpg,bangku ruang ganti,kanan,visual_relative,medium,sedang,no,relatif_lapang,tengah,bangku berada di kanan dan belakang sementara area depan tengah cukup kosong
1 (6845).jpg,tangga,tengah,visual_relative,medium,sedang,no,relatif_lapang,tengah,tangga berada di tengah belakang dengan area karpet depan relatif lapang
1 (7258).jpg,meja kelas,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,meja dan kursi kelas berada dekat di area depan tengah
1 (7254).jpg,lorong,tengah,visual_relative,medium,jauh,no,relatif_lapang,tengah,koridor panjang dengan area depan kosong dan struktur jauh di ujung
1 (7252).jpg,lorong,tengah,visual_relative,medium,jauh,no,relatif_lapang,tengah,lorong panjang dengan pot tanaman jauh di tengah belakang dan area depan kosong
1 (9887).jpg,kursi kerja,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,kursi kerja berada dekat di tengah depan meja
1 (6169).jpg,bangku,tengah,visual_relative,medium,sedang,no,relatif_lapang,kiri,bangku sempit berada di tengah agak jauh dengan ruang depan cukup lapang
1 (7245).jpg,lorong,tengah,visual_relative,medium,jauh,no,relatif_lapang,tengah,koridor indoor panjang dengan area depan kosong dan objek jauh di ujung
